uso_codigo,uso_descricao_canonical,uso_categoria
0,TERRENO,TERRENO
10,RESIDENCIA,RESIDENCIAL
12,RESIDENCIA COLETIVA,RESIDENCIAL
13,CORTICO,RESIDENCIAL
14,RESIDENCIA E OUTRO USO,RESIDENCIAL
20,APARTAMENTO EM CONDOMINIO,RESIDENCIAL
21,PREDIO DE APARTAMENTO RESIDENCIAL,RESIDENCIAL
22,PREDIO DE APARTAMENTO MISTO,RESIDENCIAL
23,GARAGEM EM CONDOMINIO COMERCIAL,COMERCIAL
24,GARAGEM EM CONDOMINIO RESIDENCIAL,RESIDENCIAL
25,FLAT RESIDENCIAL,RESIDENCIAL
26,DEPOSITO EM CONDOMINIO,COMERCIAL
30,ESCRITORIO/CONSULTORIO EM CONDOMINIO,COMERCIAL
31,PREDIO DE ESCRITORIO,COMERCIAL
32,PREDIO MISTO PREDOMINANCIA COMERCIAL,COMERCIAL
40,LOJA,COMERCIAL
41,LOJA EM CONDOMINIO,COMERCIAL
42,LOJA E RESIDENCIA,COMERCIAL
43,OUTRAS EDIFICACOES MULTIPLAS,COMERCIAL
50,INDUSTRIA,INDUSTRIAL
51,ARMAZENS E DEPOSITOS,INDUSTRIAL
60,OFICINA,SERVICOS
61,POSTO DE SERVICO,SERVICOS
62,GARAGEM,SERVICOS
63,GARAGEM EM CONDOMINIO DE GARAGENS,SERVICOS
64,OUTRAS EDIFICACOES SERVICOS,SERVICOS
70,CINEMA/TEATRO/CLUBE,INSTITUCIONAL
71,ESCOLA,INSTITUCIONAL
72,TEMPLO,INSTITUCIONAL
74,OUTRAS EDIFICACOES INSTITUCIONAIS,INSTITUCIONAL
80,HOTEL/PENSAO/HOSPEDARIA,INSTITUCIONAL
81,HOSPITAL/AMBULATORIO,INSTITUCIONAL
82,RADIOEMISSORA/TV,INSTITUCIONAL
83,ASILO/ORFANATO/CRECHE,INSTITUCIONAL
84,OUTRAS EDIFICACOES INSTITUCIONAIS MULTIPLAS,INSTITUCIONAL
85,FLAT COMERCIAL,COMERCIAL
